playerLabel,teamLabel
AleksandarMitrovic,AlHilal
NeymarJr,AlHilal
RubenNeves,AlHilal
AndersonTalisca,AlNassr
CristianoRonaldo,AlNassr
SadioMane,AlNassr
RobertLewandowski,Barcelona
HarryKane,BayernMunich
JamalMusiala,BayernMunich
LionelMessi,InterMiami
AlexisMacAllister,LiverpoolFC
CodyGakpo,LiverpoolFC
DarwinNunez,LiverpoolFC
LuisDiaz,LiverpoolFC
MohamedSalah,LiverpoolFC
TrentAlexanderArnold,LiverpoolFC
VirgilVanDijk,LiverpoolFC
ErlingHaaland,ManchesterCity
KevinDeBruyne,ManchesterCity
PhilFoden,ManchesterCity
OusmaneDembele,PSG
JudeBellingham,RealMadrid
KylianMbappe,RealMadrid
LukaModric,RealMadrid
ViniciusJr,RealMadrid
HeungMinSon,Tottenham
JamesMaddison,Tottenham
